Index,Composition,bandgap,spgN
0,K4 Mn4 O8,1.3321999999999998,119
1,Cr3 Ni1,0.0,221
2,Cs1 Rb1 As1,0.0,1
3,Si1 Sn1,0.4112999999999998,216
4,Ca3 P2,0.35139999999999993,221
5,Li12 Co8 Ge12 O48,0.0,230
6,In1 Sb1,0.0,225
7,Hf1 Mg6 Sb1,0.0,38
8,Hf1 Mg6 Sb1,0.0,38
9,Zn2 Si2 O6,3.5902,148
10,Mg6 Cd1 Co1,0.0,38
11,Mg6 Co1 Sn1,0.0,38
12,Mg6 Cu1 Sb1,0.0,38
13,Mg6 Co1 Ni1,0.0,38
14,Mg6 Zr1 Ga1,0.0,38
15,Y1 Hf1 Mg6,0.0,38
16,Mg6 Ti1 Zn1,0.0,38
17,Y1 Mg6 Ni1,0.0,38
18,La1 Mg6 Al1,0.0,38
19,Ca1 Mg6 Zr1,0.0,38
20,Mg14 Sb1 Mo1,0.0,38
21,Hf1 Mg14 Cr1,0.0,187
22,Rb1 Mg14 Bi1,0.0,38
23,La1 Mg14 Cr1,0.0,187
24,K1 Mg14 Bi1,0.0,38
25,K1 Sr1 Mg14,0.0,38
26,La1 Mg14 Co1,0.0,187
27,Mg14 Ti1 Mn1,0.0,187
28,Rb1 Mg14 Sn1,0.0,38
29,Mg14 Ti1 V1,0.0,187
30,Sr1 Mg14 Ni1,0.0,187
31,Hf1 Mg14 Co1,0.0,38
32,C4 Ba2,2.1132,15
33,Na1 Y1 Mg6 O8,2.8937000000000004,123
34,Mg14 Ti1 Cd1 O16,0.0,123
35,Mg14 Ni1 Sn1 O16,0.0,123
36,Y1 Mg14 Ti1 O16,0.0,47
37,K1 Mg14 Al1 O16,1.8533,123
38,Mg30 Si1 Sn1 O32,1.9428999999999998,123
39,Mg30 Si1 Sn1 O32,0.9231999999999996,123
40,Cs1 Y1 Mg30 O32,2.1694000000000004,123
41,Mg12 Bi6,0.0,155
42,Sn2 Bi6,0.0,139
43,Mn12 O24,0.0,1
44,Be12 Si12 Sb8 O48,2.9288000000000003,14
45,Fe2 W4 O16,0.0,13
46,W3 O8,2.7281999999999997,2
47,Ca6 Cu6 Mo12 O42,0.0,13
48,Zn2 Ag4 O8,0.3771,2
49,La2 Zn2 Fe2 Sn2 O12,2.2267,7
50,Ni4 Sn4 P8 O36,0.0041999999999999815,2
51,Cr12 O28,0.24039999999999995,62
52,Ca2 Cu9 O13,0.0,2
53,Ca2 P8 W2 O24,1.9165,1
54,Zn2 P8 W2 O24,0.08329999999999993,2
55,Mg4 Ti4 O8,0.24409999999999954,2
56,Zn2 Cr9 O13,0.0,2
57,Zn1 Bi4 O8,0.4849999999999999,1
58,Sr4 Cu4 Bi2 O14,0.0,9
59,Ti6 P8 O28,0.014199999999999768,14
60,Ca2 Sb1 W1 O6,2.1391,1
61,Ca2 Ag4 O8,0.0,63
62,Sr3 Ca1 Cr2 S2 O5,1.4213999999999998,119
63,Cu2,0.0,12
64,Mg12 Si8,0.0,15
65,Sr24 Ca8 Ti24 Mn8 O80,0.0,1
66,Dy3 Mn3 Ga3,0.0,38
67,K4 Mn4 O8,1.3269,119
68,Ce2 Se4,0.05889999999999995,136
69,Ce8 Se16,0.060100000000000264,80
70,Ce12 Se24,0.5375000000000001,60
71,Zr4 Sn4,0.0,62
72,Sr4 Mg2,0.0,194
73,Sr4 Mg2,0.0,187
