formula,transition temperature
Y1Ba2Cu2.91Zn0.09O6.9,74.6
Y0.2Lu0.8Ni2B2C1,14.68
Ce1Rh0.23Co0.77In5,1.38
Ag0.005Zn0.995,0.763
K1Ni2Se2,0.8
La0.3Ce0.7Ru2,2.134
La1Fe1As1H0.15,27.5
Ba0.8Rb0.2Ti2Sb2O1,6.19
Y0.7Pr0.3Ba2Cu3O6.97,59.3
Au0.2Sb0.6Te0.2,6.6
Bi4Ca3Sr3Cu4O16.32,80.0
Be17Nb2,1.47
Mg1Mo6S7,2.72
Bi0.5Cd0.125Pb0.25Sn0.125,8.2
Ti1V1,6.09
Nb0.9Zr0.1,10.7
Mo0.25Nb0.75,3.47
Au0.1Zr0.9,2.78
Cu1Co1.99Cr0.01S4,3.62
Ba0.663K0.337Fe2As2,38.0
Y1Ir1Os1,2.6
Nd1Ba1.4Sr0.6Cu3O6.94,75.0
Lu1Ni1.81Co0.38B2C1,2.9
Y2Ba4Cu7O14.53,60.0
Th1Ir1.6Ru0.4,2.87
La1.855Sr0.145Cu0.99Zn0.01O4,24.7
Nb3Sn0.8Ge0.2,17.78333333
La1Ni1Si1,1.23
La2.5Y0.5Ca1Ba3Cu6.58Fe0.42O16.599,68.0
Mo0.65Pt0.1Re0.25,7.4
Gd0.51Pr1.34Ce0.15Cu1O1,12.1
V0.75Si0.2Al0.05,11.8
Ga0.25Nb0.75,20.0
Sn0.8In0.2Te0.8Se0.2,3.8
Y1Ba2Cu2.95Zn0.05O6.72,35.0
Ga0.25V0.75,14.16666667
Al3Th1,0.75
Y0.6Pr0.4Ba1.8Sr0.2Cu3O6.85,47.0
La1Pt4Ge14,5.4
Ba0.9K0.1Fe2As2,3.5
Y2C2I2,9.985
Ta0.8W0.2,1.04
La0.8Pr0.2Ba2Cu3O7,59.8
La1.79Sr0.21Cu0.96Mn0.04O4,37.0
Pb2Sr2Eu0.9Ca0.1Cu3O8.1,69.0
Rb0.74Fe1.6Se2,32.4
Eu1Ba1Sr1Cu3O6.94,80.0
La3Pr0.6In1,3.2
Ir1,0.091333333
Sb1.16S5.16Ta2,3.0
Cu0.65Zn0.35Ir2S4,2.8
Ru0.43V0.57,2.92
Ru0.925Sn0.075Sr2Gd1Cu2O8,37.8
Nb0.58Ta0.42,6.54
La1.922Ba0.078Cu1O4,24.95
As2Sn3,3.5
Lu2Ir2.97Rh0.03Si5,4.6
Pb0.352Sn0.528In0.12Te1,3.6
Hg1Ba2Ca1Cu2O6.08,92.0
Nb3Rh1,2.742333333
Ce1Fe0.91Co0.09As1H1,23.0
Nb3Sn0.5Ga0.5,16.4
Sr2Ca3Cu4F2O8.6,38.0
Te3Tl5,2.144
Pb1Te1Yb1S1,5.93
Tl2Ba2Cu1O6.08,16.0
Ba0.557K0.443Bi1O3,25.0
V3Ga0.1Sn0.9,3.8
La2.94Ce0.06In1,5.58
La1.882Ba0.118Cu0.99Ni0.01O4,12.7
Y0.65La0.35B6,4.0
Zr1Rh1P1,1.525
Al0.99Li0.01,1.07
Nb0.995Ta0.005,9.226
Eu0.9Pr0.1Ba2Cu3O6.78,83.0
Y3Os8B6,5.8
La1.85Sr0.12Ca0.016Ba0.014Cu1O4,30.0
Zr1P1.25S0.75,4.85
Pt0.035W0.965,1.98
La1.78Sr0.22Cu0.97Ru0.03O4,15.6
Ce0.916Yb0.084Co1In5,1.84
Na0.75Co0.99Ir0.01H2.6O3.3,3.54
Sr0.88La0.12Cu1O1.97,42.4
Ca0.31Sr0.7Ti1O3,0.1
Cr0.72Ir0.28,0.83
Tl1Ba2Ca0.8Nd0.2Cu2O6.86,100.0
Y0.9Ca0.1Ba1.8La0.2Cu3O6.97,87.0
Pd0.18Ti0.82,4.73
Y0.6Pr0.4Ba0.8Sr1.2Cu3O6.89,49.0
Bi2Sr1.8Ca1Yb0.2Cu2O8.26,90.1
Sn0.1Tl0.9,3.5
Y1Ba1.9La0.1Cu3O6.92,90.0
La1.855Sr0.145Cu1O4,33.55
Mg1B1.7Be0.3,32.9
Nb0.85Hf0.15N0.94,12.3
Y0.95La0.05Ba2Cu3O6.58,93.65
Y1Ba2Cu2.985Zn0.015O6.95,86.0
Sc5Co4Si10,4.81
Bi2Rh1,1.1
Y1Ba2Cu2.95Fe0.05O6.55,17.8
Mo0.95Hf0.05C1,12.7
Y1Sr2Cu2.7Fe0.3O7.1,51.0
Bi1.4Pb0.6Sr2Ca0.4Nd0.6Cu2O8.24,65.0
Nd1Fe1As1F0.08O0.92,35.0
Dy0.9Ca0.1Ba2Cu2.7Zn0.3O6.72,21.0
Y1Ba2Cu3.996Ni0.004O8,78.0
C1Si1,0.725
Li2Pd0.3Pt2.7B1,3.37
Sn0.6In0.4Te1,4.51
Cs0.23W1O3,6.0
Ce1Co0.5Rh0.5In5,1.6
Cu0.3La0.7,3.5
Hf0.1Ta0.9,5.6
Bi1.09Ta2S5.09,2.65
Y1Os1B4,1.4
Nb0.62Pt0.38,2.31
Sn0.76Ge0.19In0.05Te1,0.68
Pd0.05Ru0.05Zr0.9,9.0
Nd1Fe1As0.7P0.3F0.1O0.9,29.5
Fe0.5Ba1Sr1Y1Cu2.5O7.35,60.0
Th1Ir0.1Os1.9,2.25
Hg1Ba2Ca2Cu3O8.41,133.0
Dy1Ba2Cu2.94Fe0.06O6.88,78.0
Mg0.97Na0.03B2,38.0
Y1Pt1Bi1,0.906666667
Nb2Se2,6.9
Y0.8Ca0.2Sr1.6Ba0.4Cu2.7Ga0.3O7,53.9
Co0.44Mo0.56,13.0
La1.85Sr0.15Cu1O4.022,40.0
Zr0.61Rh0.285O0.105,11.8
Ba1Ni2Ge0.2P1.8,2.59
Dy0.4Tm0.6Ni2B2C1,9.0
Y2I1.25Br0.75C2,10.05
Bi1.7Pb0.3Sr2Ca0.5Y0.5Cu2O8,41.3
La1Fe0.951Zn0.049As1F0.28O0.68,1.0
Zr1Os1P1,5.3525
Y1Ba2Cu2.94Cu0.6O7,89.1
Rh0.33Zr0.66,11.2
Bi2Sr2Ca1Cu2I0.43O8.21,63.1
Al0.992Zn0.008,1.132
Nb0.8Ga0.17Ni0.03,11.8
Ce0.9La0.1Rh1In5,1.6
Pr0.91La1Ce0.09Cu1O4,24.6
Eu1Ba2Cu3O6.97,94.77
Na0.346Co1H2.6O3.3,4.81
Pb2Sr2Y0.5Ca0.5Cu3O8.1882,62.0
Y1Ni1.98Mn0.02B2C1,15.48
Hg0.75Ba2.07Ca2.07Cu3.11O8.223,133.4
Li0.62Rb1Ca2Nb3O10,2.705
Bi1Pb1Sr2Y0.4Ca0.6Cu2O8,79.5
B0.67Mg0.33,6.1
Mo32Ru48P20,4.68
Rh0.8Ru0.2Se2,1.33
Er1Ba1Sr1Cu3O6.94,78.0
Fe2As2Sr4Mg0.8Ti1.2O6,26.0
Re0.65Ta0.35,1.58
La0.06Th0.94Pb3,5.58
Sr1Fe2As1.3P0.7,28.475
La1.85Sr0.15Cu0.988Zn0.012O4,21.95
La3Pd5Si1,1.4
Eu1Fe2As1.7P0.3,23.0
Dy1Ba2Cu2.9Zn0.1O6.96,44.0
Ag0.95Sn1.05Se2,5.245
Pd1Sb1Te1,1.2
Nd1.85Ce0.15Cu0.998Co0.002O4,15.45
Cu0.1Ta1S2,2.71
Be22Re0.99Ru0.01,9.2
Bi0.16Pb0.3V0.1Sr2Ca2Cu3O10.12,102.5
Fe1Se0.164Te0.656,13.1
Y1Sr2Cu2.8Re0.2O6.9,43.0
V3Ga0.78Sn0.22,6.9
La1.855Sr0.145Cu0.99Ni0.01O4,33.0
Sm1Fe1As1H0.34O0.64,51.8
Bi1Li1,2.4625
Y1La1.8Ba3.2Cu6O14.49,41.9
Re2Zr1,6.366666667
Ru0.452V0.548,4.2
Tm1Ba2Cu3O7,90.83333333
Tm0.7Pr0.3Ba2Cu3O6.95,64.1
La2Cu1O4.12,43.0
Rh0.04Ru0.05Ti0.91,3.5
La3Se4,8.326
Y0.9Ca0.1Ba2Cu3O6.03,19.8
Ge2U1,0.55
Pr2Ba4Cu7O14.74,15.5
C1Ta2,1.63
Tc2Zr1,7.6
Pt0.06Ru0.94,0.29
Ta0.96W0.04,3.4
Cu1Cr1O2,132.0
Nb5V50Ti45,7.4
Y0.85Pr0.15Ba2Cu3O6.5,35.8
Pd2Y0.9Er0.1Sn1,3.87
La1Fe1As1F0.075O0.925,21.6
Mg0.98Co0.02B2,37.4
Cr0.152Ti0.848,4.18
Ga9Ir2,2.225
Pr1Fe1As1F0.225O0.775,50.0
Eu0.6Pr0.4Ba1.7Sr0.3Cu3O6.93,28.0
Ba0.47K0.53Bi0.972Pr0.028O3,4.0
Li2Pd2.85Pt0.15B1,6.4
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61,76.0
Y0.6Ca0.4Ba1.1La0.9Cu3O7.18,47.0
Tl1Sr2Ca0.4Y0.6Cu2O6.93,92.0
Ho1Rh2.6Ru1.4B4,4.68
Sn0.02V0.98,2.87
La1.91Ca0.09Cu1O4,20.0
Y1Sr0.5Ba1.5Cu2.5B0.5O7,15.0
Pb0.5Cu0.5Sr1La1Cu1O5.19,24.1
H0.12Ta0.88,2.81
As1Rh1,0.58
Re0.73W0.27,8.3
Eu0.8Sr0.2Ba1.6Pr0.1Cu3O6.78,51.0
La0.96Sr0.04Fe1As1O1,3.65
Cu0.01V0.99,4.74
La1.8Nd0.2Cu1O4.07,35.3
Y1Ba1.3Sr0.7Cu3O6.98,84.5
Er0.97Tm0.3Rh4B4,9.03
Nb2Pd0.81S5,6.6
K0.58Fe1.56Se2,31.9
Cu0.7Nb0.3,9.39
Ba0.825K0.175Fe2As2,10.0
Ga28.1V71.9,12.2
Pb0.36Sn0.64,7.75
Hg1Ba2Ca1Cu2O6.21,127.0
K0.8Fe1.951Mn0.049Se2,31.9
Ca8.6La1.4Pt3Fe10As18,34.5
Hf0.5V2Zr0.5,10.1
La1.85Sr0.15Cu0.997Fe0.003O4,33.6
Cd0.17Tl0.83,2.3
Bi2Sr2Ca0.85Pr0.15Cu2O8,68.35
Bi2Sr2Ca0.9Y0.1Cu2O8,76.5
Hf0.661W0.339,2.51
Sb0.02V0.98,3.29
Nb3Al0.8Ga0.2,18.54
Ba1Fe1.852Co0.148As2,22.78
Ir0.82Rh0.12Se2,7.96
Ce1Te1.82,2.7
V2.979Co0.021Si1,16.4
Ce1Rh0.3Ir0.7In5,1.2
B5Nb1.8Zr0.2,5.9
Y1Ba1.7La0.3Cu4O7.8,62.7
Ga0.1Fe0.9Se0.85,6.8
Ba0.7Na0.3Fe2As2,23.8
Cu0.4Bi2Se3,3.09
Al0.5Nb3Sn0.5,15.8
B12Zr1,5.977142857
Pb2Sr2Dy1Cu3O8,76.5
Ca1Fe2.94Co0.06As2,17.0
Ba1Fe1.78Co0.22As2,16.23
Ti0.2Zr0.8,1.01
Y1Ba2Cu3O6.93,91.7375
Hg0.5Fe0.5Sr2Y0.4Ca0.6Cu2O6.67,77.5
Ca1.85Na0.15Cu1Br1Cl1O2,19.0
Y2C2.9B0.1,16.4
Nd1Fe0.98Mn0.02As1F0.11O0.89,27.1
Y1Ba1.5La0.5Cu3O7.1,30.0
B2.75Be1,0.755
Lu0.8Ca0.2Ba2Cu3O6.91,48.0
Ce1Rh0.45Ir0.55In5,0.82
In0.046Sn0.954,3.655
Tl2Ba2Ca2Cu3O9.83,114.0
Ca0.85Gd0.15Fe1As2,19.5
Os10,0.478
Y1Ba1Sr1Cu2.9Sn0.1O7.001,68.6
Bi1.8Pb0.2Sr1.6La0.4Cu1O6.182,13.7
Ca0.2Ba1.55La1.25Cu3O6.98,10.4
La0.9Pr0.1Ba1.5Sr0.5Cu3O6.904,44.0
Fe0.99Co0.01Se0.3Te0.7,13.3
La0.05Ce0.95Ru2,7.181
Ta0.6W0.4C1,10.0
Li0.28Cs1Ca2Nb3O10,5.51
Y1Pd2Pb1,4.13
La1.5Nd0.5Ba2Ca1Cu5O7.123,78.0
Ba1Ni2Ge1P1,0.68
Ho1Rh3Ru1B4,6.35
Nb0.75Al0.19Ge0.06,20.45
La2.4S4Y0.6,4.77
Er1Ba2Cu2.85Zn0.06Fe0.09O6.96,46.0
Lu1Pt2Si2,1.9
La1N1,1.175
Pd1Zr3,2.96
Th1Pt2Ge2,1.1
La1.82Sr0.18Cu0.97Fe0.03O4,29.0
Lu1.86Y0.14Fe3Si5,3.51
Nb3Al0.05Sn0.95,18.2
Sr0.6La0.4Fe2As2,20.5
Y1Ba2Cu3Li0.08O7,89.2
Eu0.95La0.9Ce0.15Cu1O4,17.5
Pr1.48Y0.37Ce0.15Cu1O4,9.5
Y1Ba1.5Sr0.5Cu3O6.85,72.9
Nb0.06Tc0.94,12.8
La3In0.5Tl0.5,8.9
Au5Sn1,0.9
Fe0.02Te0.85Se0.15,12.7
Li2Pt3B0.95Al0.05,2.12
Nb3Sn0.81Ge0.19,14.3
Bi3.85Co0.15S3O4,3.9625
La1.85Sr0.15Cu0.9775Zn0.0225O4,8.0
Ga1Sr2Ca3Cu4O11.,107.0
Mo1Na0.3S2,4.1
Na0.28Hf1N1Cl1,22.9
La0.5Sm0.5Bi1S2F0.5O0.5,4.05
Pr1Os4Sb12,1.60125
Nb1Se2.2,6.675
Ba1Pb0.5Hg0.25Bi0.25O3,2.93
Au0.1Sb0.9,7.5
Sm1.05Ba1.95Cu3O6.87,89.75
Fe0.03Nb0.25Ti0.72,8.5
Rb2Cr3As3,4.8
Er1Ba2Cu2.97Zn0.03O6.93,81.0
Ba2Bi2.25Sb0.75,4.06
Ba0.445K0.555Bi1O3,15.5
La1.85Sr0.15Cu0.9825Co0.0175O4,13.2
Ho1Ba2Cu4O8,76.2
N1Nb0.9V0.1,6.6
Ca1Al0.4Ga0.6Si1,3.45
Li0.34Cs1Ca2Nb3O10,5.4
Gd1Ba1.95Pr0.05Cu3O7.03,86.8
Y0.3Pr0.7Ba1Sr1Cu3O6.95,14.0
La2.5Gd0.5Ca1Ba3Cu7O16.359,80.0
Yb0.7Pr0.3Ba2Cu3O6.97,73.5
B0.015C0.985,12.0
Y1Ba2Cu2.7Ni0.3O6.88,73.0
Hf2Rh1,1.72
Cr0.1Ti0.3V0.6,5.6
Ga4Mn0.006Mo0.994,7.14
Y0.9Ca0.1Ba2Cu3O6.91,81.1
Ba0.5K0.5Fe1.9Co0.1As2,30.31
Mo0.1215Ti0.8785,3.5
Bi2Ca2.5Pr0.5Cu2O8.53,45.0
Nb3Sn1,17.846
La1.83Ca0.17Cu1O4,34.0
La0.99Y0.01Fe0.995Mn0.005As1F0.11O0.89,7.5
Ga0.3V0.7,14.1
La1.78Sr0.22Cu1O3.945,34.8
Ru0.445V0.555,3.48
La1Rh1Sb1,2.1
Ca0.67Pt3B2,1.57
La1.82Ca1.18Cu2O6,55.0
Bi3Te1,0.875
La1Pt1Si1,3.833333333
Y0.8Zn0.2Ba2Cu3O7,43.0
